,id,ministerio,entidad,sigla,condicion
190,191.0,Ministerio De Vivienda y Urbanismo,Servicio Metropolitano de Vivienda y Urbanización,SEREMI,Organismo Descentralizado
191,192.0,Ministerio De Transporte y Telecomunicaciones,Subsecretaría de Transportes,,Organismo Centralizado
192,193.0,Ministerio De Transporte y Telecomunicaciones,Subsecretaría de Telecomunicaciones,,Organismo Centralizado
193,194.0,Ministerio De Transporte y Telecomunicaciones,Junta Aeronáutica Civil,JAC,Organismo Centralizado
194,195.0,Ministerio De Transporte y Telecomunicaciones,Secretarías Regionales Ministeriales,,Organismo Desconcentrado Territorialmente
195,196.0,Ministerio De Transporte y Telecomunicaciones,Empresa de los Ferrocarriles del Estado,Grupo EFE,Empresa Pública Creada por Ley
196,197.0,Ministerio De Transporte y Telecomunicaciones,Empresa de Correos de Chile,,Empresa Pública Creada por Ley
197,198.0,Ministerio De Transporte y Telecomunicaciones,Empresas Portuarias,,Empresa Pública Creada por Ley
198,199.0,Ministerio SecretarÍa General de Gobierno,Consejo Nacional de Televisión,CNTV,Organismo Constitucionalmente Autónomo
199,200.0,Ministerio SecretarÍa General de Gobierno,Secretarías Regionales Ministeriales,,Organismo Desconcentrado Territorialmente
200,201.0,Ministerio SecretarÍa General de Gobierno,Televisión Nacional de Chile,TVN,Empresa Pública Creada por Ley
201,202.0,Ministerio SecretarÍa General de Gobierno,Subsecretaría,,Organismo Centralizado
202,203.0,"Ministerio de las Culturas, las Artes y el Patrimonio","Dirección de Bibliotecas, Archivos y Museos",DIBAM,
203,204.0,"Ministerio de las Culturas, las Artes y el Patrimonio",Secretarías Regionales Ministeriales,,Organismo Desconcentrado Territorialmente
204,205.0,"Ministerio de las Culturas, las Artes y el Patrimonio",Subsecretaría de las Culturas y las Artes,,Organismo Centralizado
205,206.0,"Ministerio de las Culturas, las Artes y el Patrimonio",Subsecretaría del Patrimonio Cultural,,Organismo Centralizado
206,207.0,"Ministerio de las Culturas, las Artes y el Patrimonio",Consejo de Monumentos Nacionales,CMN,Organismo Centralizado
207,208.0,"Ministerio de las Culturas, las Artes y el Patrimonio",Servicio Nacional del Patrimonio Cultural,SNPC,Organismo Descentralizado
208,209.0,"Ministerio de Ciencia, Tecnología, Conocimiento e Innovación",Secretarías Regionales Ministeriales,,Organismo Desconcentrado Territorialmente
209,210.0,"Ministerio de Ciencia, Tecnología, Conocimiento e Innovación",Subsecretaría,,Organismo Centralizado
210,211.0,"Ministerio de Ciencia, Tecnología, Conocimiento e Innovación",Agencia Nacional de Investigación y Desarrollo,ANID,Organismo Descentralizado
211,212.0,Ministerio de la Mujer y la Equidad de Género,Secretarías Regionales Ministeriales,,Organismo Desconcentrado Territorialmente
212,213.0,Ministerio de la Mujer y la Equidad de Género,Subsecretaría,,Organismo Centralizado
213,214.0,Ministerio de la Mujer y la Equidad de Género,Servicio Nacional de la Mujer y la Equidad de Género,SERNAMEG,Organismo Descentralizado
214,215.0,Ministerio del Deporte,Secretarías Regionales Ministeriales,,Organismo Desconcentrado Territorialmente
215,216.0,Ministerio del Deporte,Subsecretaría,,Organismo Centralizado
216,217.0,Ministerio del Deporte,Instituto Nacional de Deportes,IND ,Organismo Descentralizado
217,218.0,Ministerio del Medio Ambiente,Secretarías Regionales Ministeriales,,Organismo Desconcentrado Territorialmente
218,219.0,Ministerio del Medio Ambiente,Subsecretaría,,Organismo Centralizado
219,220.0,Ministerio del Medio Ambiente,Servicio de Evaluación Ambiental,,Organismo Descentralizado
220,221.0,Ministerio del Medio Ambiente,Superintendencia del Medio Ambiente,,Organismo Descentralizado
221,222.0,Ministerio de Energía,Secretarías Regionales Ministeriales,,Organismo Desconcentrado Territorialmente
222,223.0,Ministerio de Energía,Subsecretaría,,Organismo Centralizado
223,224.0,Ministerio de Energía,Superintendencia de Electricidad y Combustibles,,Organismo Descentralizado
224,225.0,Ministerio de Energía,Comisión Chilena de Energía Nuclear,CCHEN,Organismo Descentralizado
225,226.0,Ministerio de Energía,Comisión Nacional de Energía,CNE,Organismo Descentralizado
226,227.0,Ministerio de Energía,Empresa Nacional del Petróleo,ENAP,Empresa Pública Creada por Ley
227,228.0,Ministerio de Bienes Nacionales,Secretarías Regionales Ministeriales,,Organismo Desconcentrado Territorialmente
228,229.0,Ministerio de Bienes Nacionales,Subsecretaría,,Organismo Centralizado
229,230.0,Banco Central,Banco Central,,
